Region,Month,Year,Comment,Sentiment,Sentiment Score,Risk Analysis
Darjeeling,March,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Nilgiri,June,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Munnar,February,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Darjeeling,August,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Darjeeling,March,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Nilgiri,April,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Assam,March,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Arunachal Pradesh,January,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Arunachal Pradesh,November,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Wayanad,February,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Meghalaya,January,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Meghalaya,April,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Arunachal Pradesh,September,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Darjeeling,May,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Meghalaya,February,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Munnar,May,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Nilgiri,April,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Nilgiri,April,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Munnar,June,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Terai,November,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Meghalaya,December,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Terai,November,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Nilgiri,October,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Assam,March,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Assam,July,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Dooars,June,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Wayanad,July,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Wayanad,February,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Terai,October,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Arunachal Pradesh,November,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Terai,October,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Munnar,November,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Assam,July,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Tripura,March,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Assam,February,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Dooars,January,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Arunachal Pradesh,April,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Terai,August,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Darjeeling,December,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Darjeeling,June,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Nilgiri,July,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Darjeeling,June,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Meghalaya,August,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Meghalaya,September,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Assam,April,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Dooars,April,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Tripura,December,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Nilgiri,August,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Arunachal Pradesh,February,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Terai,January,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Arunachal Pradesh,December,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Wayanad,January,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Dooars,January,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Meghalaya,September,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Arunachal Pradesh,September,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Munnar,January,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Munnar,October,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Munnar,January,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Terai,May,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Assam,May,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Terai,March,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Meghalaya,June,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Arunachal Pradesh,October,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Tripura,December,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Wayanad,February,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Darjeeling,September,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Tripura,January,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Arunachal Pradesh,February,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Munnar,March,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Terai,October,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Darjeeling,September,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Nilgiri,August,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Darjeeling,July,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Dooars,October,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Terai,February,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Dooars,April,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Nilgiri,December,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Munnar,December,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Assam,February,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Terai,August,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Munnar,May,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Munnar,October,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Darjeeling,February,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Tripura,March,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Arunachal Pradesh,April,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Munnar,March,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Darjeeling,December,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Terai,May,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Terai,September,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Wayanad,June,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Terai,December,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Assam,December,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Darjeeling,June,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Nilgiri,December,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Wayanad,July,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Arunachal Pradesh,October,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Assam,November,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Tripura,February,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Darjeeling,August,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Tripura,August,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Assam,October,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Dooars,January,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Arunachal Pradesh,July,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Wayanad,February,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Darjeeling,June,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Wayanad,January,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Wayanad,January,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Dooars,February,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Dooars,January,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Terai,February,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Assam,August,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Munnar,July,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Munnar,April,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Meghalaya,January,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Assam,May,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Darjeeling,June,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Wayanad,August,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Assam,December,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Darjeeling,April,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Nilgiri,July,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Tripura,February,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Terai,June,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Dooars,April,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Wayanad,September,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Nilgiri,January,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Munnar,January,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Darjeeling,March,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Tripura,December,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Wayanad,January,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Assam,January,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Tripura,April,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Nilgiri,December,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Tripura,October,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Munnar,August,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Terai,August,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Wayanad,January,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Assam,November,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Darjeeling,March,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Dooars,October,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Meghalaya,June,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Meghalaya,November,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Arunachal Pradesh,October,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Dooars,June,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Dooars,August,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Dooars,June,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Nilgiri,December,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Arunachal Pradesh,February,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Terai,May,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Nilgiri,March,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Nilgiri,September,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Arunachal Pradesh,March,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Arunachal Pradesh,May,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
