Region,Month,Year,Action,Reason
Darjeeling,March,2021,Monitor,Balanced supply-demand (1.13).
Nilgiri,June,2021,Monitor,Balanced supply-demand (1.11).
Munnar,February,2021,Increase Supply,"Low supply (0.71), demand exceeds supply."
Darjeeling,August,2021,Increase Supply,"Low supply (0.66), demand exceeds supply."
Darjeeling,March,2021,Increase Supply,"Low supply (0.35), demand exceeds supply."
Nilgiri,April,2021,Increase Supply,"Low supply (0.43), demand exceeds supply."
Assam,March,2021,Increase Supply,"Low supply (0.31), demand exceeds supply."
Arunachal Pradesh,January,2021,Increase Supply,"Low supply (0.68), demand exceeds supply."
Arunachal Pradesh,November,2021,Monitor,Balanced supply-demand (1.07).
Wayanad,February,2021,Monitor,Balanced supply-demand (0.87).
Meghalaya,January,2021,Increase Supply,"Low supply (0.56), demand exceeds supply."
Meghalaya,April,2021,Increase Supply,"Low supply (0.80), demand exceeds supply."
Arunachal Pradesh,September,2021,Increase Supply,"Low supply (0.74), demand exceeds supply."
Darjeeling,May,2021,Reduce Supply,"High supply (1.37), oversupply risk."
Meghalaya,February,2021,Increase Supply,"Low supply (0.43), demand exceeds supply."
Munnar,May,2021,Increase Supply,"Low supply (0.34), demand exceeds supply."
Nilgiri,April,2021,Monitor,Balanced supply-demand (1.02).
Nilgiri,April,2021,Increase Supply,"Low supply (0.73), demand exceeds supply."
Munnar,June,2021,Increase Supply,"Low supply (0.52), demand exceeds supply."
Terai,November,2021,Reduce Supply,"High supply (1.31), oversupply risk."
Meghalaya,December,2021,Increase Supply,"Low supply (0.70), demand exceeds supply."
Terai,November,2021,Increase Supply,"Low supply (0.70), demand exceeds supply."
Nilgiri,October,2021,Increase Supply,"Low supply (0.42), demand exceeds supply."
Assam,March,2021,Increase Supply,"Low supply (0.40), demand exceeds supply."
Assam,July,2021,Increase Supply,"Low supply (0.49), demand exceeds supply."
Dooars,June,2021,Monitor,Balanced supply-demand (0.94).
Wayanad,July,2021,Increase Supply,"Low supply (0.42), demand exceeds supply."
Wayanad,February,2021,Increase Supply,"Low supply (0.51), demand exceeds supply."
Terai,October,2021,Monitor,Balanced supply-demand (1.19).
Arunachal Pradesh,November,2021,Increase Supply,"Low supply (0.29), demand exceeds supply."
Terai,October,2021,Reduce Supply,"High supply (1.80), oversupply risk."
Munnar,November,2021,Increase Supply,"Low supply (0.50), demand exceeds supply."
Assam,July,2021,Increase Supply,"Low supply (0.58), demand exceeds supply."
Tripura,March,2021,Reduce Supply,"High supply (1.92), oversupply risk."
Assam,February,2021,Reduce Supply,"High supply (2.18), oversupply risk."
Dooars,January,2021,Monitor,Balanced supply-demand (0.80).
Arunachal Pradesh,April,2021,Monitor,Balanced supply-demand (0.83).
Terai,August,2021,Increase Supply,"Low supply (0.38), demand exceeds supply."
Darjeeling,December,2021,Reduce Supply,"High supply (1.68), oversupply risk."
Darjeeling,June,2021,Monitor,Balanced supply-demand (0.90).
Nilgiri,July,2021,Increase Supply,"Low supply (0.44), demand exceeds supply."
Darjeeling,June,2021,Increase Supply,"Low supply (0.63), demand exceeds supply."
Meghalaya,August,2021,Increase Supply,"Low supply (0.59), demand exceeds supply."
Meghalaya,September,2021,Monitor,Balanced supply-demand (0.87).
Assam,April,2021,Increase Supply,"Low supply (0.37), demand exceeds supply."
Dooars,April,2021,Increase Supply,"Low supply (0.70), demand exceeds supply."
Tripura,December,2021,Monitor,Balanced supply-demand (0.82).
Nilgiri,August,2021,Reduce Supply,"High supply (1.67), oversupply risk."
Arunachal Pradesh,February,2021,Increase Supply,"Low supply (0.63), demand exceeds supply."
Terai,January,2021,Monitor,Balanced supply-demand (1.12).
Arunachal Pradesh,December,2021,Monitor,Balanced supply-demand (0.90).
Wayanad,January,2021,Monitor,Balanced supply-demand (0.82).
Dooars,January,2021,Increase Supply,"Low supply (0.67), demand exceeds supply."
Meghalaya,September,2021,Increase Supply,"Low supply (0.78), demand exceeds supply."
Arunachal Pradesh,September,2021,Increase Supply,"Low supply (0.51), demand exceeds supply."
Munnar,January,2021,Reduce Supply,"High supply (1.41), oversupply risk."
Munnar,October,2021,Increase Supply,"Low supply (0.33), demand exceeds supply."
Munnar,January,2021,Increase Supply,"Low supply (0.66), demand exceeds supply."
Terai,May,2021,Increase Supply,"Low supply (0.42), demand exceeds supply."
Assam,May,2021,Increase Supply,"Low supply (0.53), demand exceeds supply."
Terai,March,2021,Increase Supply,"Low supply (0.42), demand exceeds supply."
Meghalaya,June,2021,Increase Supply,"Low supply (0.36), demand exceeds supply."
Arunachal Pradesh,October,2021,Increase Supply,"Low supply (0.79), demand exceeds supply."
Tripura,December,2021,Increase Supply,"Low supply (0.68), demand exceeds supply."
Wayanad,February,2021,Increase Supply,"Low supply (0.62), demand exceeds supply."
Darjeeling,September,2021,Increase Supply,"Low supply (0.64), demand exceeds supply."
Tripura,January,2021,Monitor,Balanced supply-demand (0.82).
Arunachal Pradesh,February,2021,Reduce Supply,"High supply (1.68), oversupply risk."
Munnar,March,2021,Increase Supply,"Low supply (0.53), demand exceeds supply."
Terai,October,2021,Reduce Supply,"High supply (1.69), oversupply risk."
Darjeeling,September,2021,Reduce Supply,"High supply (1.45), oversupply risk."
Nilgiri,August,2021,Monitor,Balanced supply-demand (0.82).
Darjeeling,July,2021,Monitor,Balanced supply-demand (0.90).
Dooars,October,2021,Reduce Supply,"High supply (2.18), oversupply risk."
Terai,February,2021,Increase Supply,"Low supply (0.53), demand exceeds supply."
Dooars,April,2021,Monitor,Balanced supply-demand (0.93).
Nilgiri,December,2021,Monitor,Balanced supply-demand (1.12).
Munnar,December,2021,Increase Supply,"Low supply (0.39), demand exceeds supply."
Assam,February,2021,Monitor,Balanced supply-demand (0.98).
Terai,August,2021,Increase Supply,"Low supply (0.34), demand exceeds supply."
Munnar,May,2021,Increase Supply,"Low supply (0.70), demand exceeds supply."
Munnar,October,2021,Reduce Supply,"High supply (1.92), oversupply risk."
Darjeeling,February,2021,Increase Supply,"Low supply (0.66), demand exceeds supply."
Tripura,March,2021,Increase Supply,"Low supply (0.28), demand exceeds supply."
Arunachal Pradesh,April,2021,Increase Supply,"Low supply (0.37), demand exceeds supply."
Munnar,March,2021,Increase Supply,"Low supply (0.71), demand exceeds supply."
Darjeeling,December,2021,Monitor,Balanced supply-demand (0.91).
Terai,May,2021,Reduce Supply,"High supply (1.38), oversupply risk."
Terai,September,2021,Increase Supply,"Low supply (0.59), demand exceeds supply."
Wayanad,June,2021,Monitor,Balanced supply-demand (1.03).
Terai,December,2021,Increase Supply,"Low supply (0.35), demand exceeds supply."
Assam,December,2021,Monitor,Balanced supply-demand (0.91).
Darjeeling,June,2021,Monitor,Balanced supply-demand (0.92).
Nilgiri,December,2021,Monitor,Balanced supply-demand (0.90).
Wayanad,July,2021,Reduce Supply,"High supply (1.26), oversupply risk."
Arunachal Pradesh,October,2021,Monitor,Balanced supply-demand (1.09).
Assam,November,2021,Monitor,Balanced supply-demand (1.04).
Tripura,February,2021,Monitor,Balanced supply-demand (1.04).
Darjeeling,August,2021,Increase Supply,"Low supply (0.30), demand exceeds supply."
Tripura,August,2021,Increase Supply,"Low supply (0.58), demand exceeds supply."
Assam,October,2021,Monitor,Balanced supply-demand (0.85).
Dooars,January,2021,Increase Supply,"Low supply (0.57), demand exceeds supply."
Arunachal Pradesh,July,2021,Increase Supply,"Low supply (0.37), demand exceeds supply."
Wayanad,February,2021,Increase Supply,"Low supply (0.50), demand exceeds supply."
Darjeeling,June,2021,Increase Supply,"Low supply (0.67), demand exceeds supply."
Wayanad,January,2021,Monitor,Balanced supply-demand (1.02).
Wayanad,January,2021,Increase Supply,"Low supply (0.75), demand exceeds supply."
Dooars,February,2021,Increase Supply,"Low supply (0.72), demand exceeds supply."
Dooars,January,2021,Increase Supply,"Low supply (0.43), demand exceeds supply."
Terai,February,2021,Increase Supply,"Low supply (0.80), demand exceeds supply."
Assam,August,2021,Increase Supply,"Low supply (0.49), demand exceeds supply."
Munnar,July,2021,Increase Supply,"Low supply (0.78), demand exceeds supply."
Munnar,April,2021,Reduce Supply,"High supply (1.90), oversupply risk."
Meghalaya,January,2021,Monitor,Balanced supply-demand (1.07).
Assam,May,2021,Monitor,Balanced supply-demand (0.87).
Darjeeling,June,2021,Monitor,Balanced supply-demand (1.08).
Wayanad,August,2021,Reduce Supply,"High supply (1.74), oversupply risk."
Assam,December,2021,Increase Supply,"Low supply (0.34), demand exceeds supply."
Darjeeling,April,2021,Reduce Supply,"High supply (1.70), oversupply risk."
Nilgiri,July,2021,Reduce Supply,"High supply (1.45), oversupply risk."
Tripura,February,2021,Increase Supply,"Low supply (0.63), demand exceeds supply."
Terai,June,2021,Increase Supply,"Low supply (0.62), demand exceeds supply."
Dooars,April,2021,Increase Supply,"Low supply (0.45), demand exceeds supply."
Wayanad,September,2021,Increase Supply,"Low supply (0.32), demand exceeds supply."
Nilgiri,January,2021,Increase Supply,"Low supply (0.43), demand exceeds supply."
Munnar,January,2021,Increase Supply,"Low supply (0.65), demand exceeds supply."
Darjeeling,March,2021,Reduce Supply,"High supply (2.08), oversupply risk."
Tripura,December,2021,Monitor,Balanced supply-demand (1.06).
Wayanad,January,2021,Increase Supply,"Low supply (0.45), demand exceeds supply."
Assam,January,2021,Monitor,Balanced supply-demand (1.04).
Tripura,April,2021,Increase Supply,"Low supply (0.51), demand exceeds supply."
Nilgiri,December,2021,Increase Supply,"Low supply (0.57), demand exceeds supply."
Tripura,October,2021,Monitor,Balanced supply-demand (1.00).
Munnar,August,2021,Monitor,Balanced supply-demand (0.96).
Terai,August,2021,Monitor,Balanced supply-demand (0.87).
Wayanad,January,2021,Reduce Supply,"High supply (1.33), oversupply risk."
Assam,November,2021,Increase Supply,"Low supply (0.50), demand exceeds supply."
Darjeeling,March,2021,Monitor,Balanced supply-demand (0.93).
Dooars,October,2021,Increase Supply,"Low supply (0.69), demand exceeds supply."
Meghalaya,June,2021,Monitor,Balanced supply-demand (0.94).
Meghalaya,November,2021,Monitor,Balanced supply-demand (0.82).
Arunachal Pradesh,October,2021,Increase Supply,"Low supply (0.63), demand exceeds supply."
Dooars,June,2021,Increase Supply,"Low supply (0.64), demand exceeds supply."
Dooars,August,2021,Increase Supply,"Low supply (0.64), demand exceeds supply."
Dooars,June,2021,Monitor,Balanced supply-demand (0.91).
Nilgiri,December,2021,Increase Supply,"Low supply (0.30), demand exceeds supply."
Arunachal Pradesh,February,2021,Increase Supply,"Low supply (0.64), demand exceeds supply."
Terai,May,2021,Increase Supply,"Low supply (0.65), demand exceeds supply."
Nilgiri,March,2021,Increase Supply,"Low supply (0.30), demand exceeds supply."
Nilgiri,September,2021,Increase Supply,"Low supply (0.41), demand exceeds supply."
Arunachal Pradesh,March,2021,Monitor,Balanced supply-demand (0.97).
Arunachal Pradesh,May,2021,Increase Supply,"Low supply (0.43), demand exceeds supply."
Arunachal Pradesh,June,2021,Increase Supply,"Low supply (0.46), demand exceeds supply."
Munnar,August,2021,Increase Supply,"Low supply (0.70), demand exceeds supply."
Darjeeling,May,2021,Monitor,Balanced supply-demand (1.03).
Munnar,April,2021,Increase Supply,"Low supply (0.48), demand exceeds supply."
Nilgiri,April,2021,Reduce Supply,"High supply (1.33), oversupply risk."
Meghalaya,August,2021,Increase Supply,"Low supply (0.64), demand exceeds supply."
Darjeeling,February,2021,Increase Supply,"Low supply (0.36), demand exceeds supply."
Dooars,April,2021,Reduce Supply,"High supply (2.08), oversupply risk."
Meghalaya,March,2021,Increase Supply,"Low supply (0.55), demand exceeds supply."
Darjeeling,June,2021,Reduce Supply,"High supply (1.44), oversupply risk."
Tripura,May,2021,Monitor,Balanced supply-demand (1.02).
Darjeeling,October,2021,Increase Supply,"Low supply (0.58), demand exceeds supply."
Tripura,December,2021,Monitor,Balanced supply-demand (0.87).
Dooars,September,2021,Increase Supply,"Low supply (0.65), demand exceeds supply."
Nilgiri,April,2021,Increase Supply,"Low supply (0.48), demand exceeds supply."
Munnar,January,2021,Increase Supply,"Low supply (0.56), demand exceeds supply."
Wayanad,November,2021,Monitor,Balanced supply-demand (0.96).
Munnar,March,2021,Monitor,Balanced supply-demand (1.18).
Wayanad,July,2021,Increase Supply,"Low supply (0.76), demand exceeds supply."
Darjeeling,November,2021,Increase Supply,"Low supply (0.24), demand exceeds supply."
Dooars,November,2021,Increase Supply,"Low supply (0.65), demand exceeds supply."
Tripura,June,2021,Monitor,Balanced supply-demand (0.84).
Terai,November,2021,Monitor,Balanced supply-demand (0.82).
Assam,June,2021,Increase Supply,"Low supply (0.45), demand exceeds supply."
Nilgiri,June,2021,Increase Supply,"Low supply (0.70), demand exceeds supply."
Darjeeling,October,2021,Reduce Supply,"High supply (1.27), oversupply risk."
Assam,March,2021,Monitor,Balanced supply-demand (0.85).
Nilgiri,September,2021,Increase Supply,"Low supply (0.52), demand exceeds supply."
Meghalaya,March,2021,Increase Supply,"Low supply (0.47), demand exceeds supply."
Munnar,April,2021,Increase Supply,"Low supply (0.64), demand exceeds supply."
Wayanad,October,2021,Monitor,Balanced supply-demand (0.97).
Dooars,August,2021,Increase Supply,"Low supply (0.61), demand exceeds supply."
Darjeeling,August,2021,Monitor,Balanced supply-demand (1.19).
Wayanad,December,2021,Increase Supply,"Low supply (0.61), demand exceeds supply."
Arunachal Pradesh,August,2021,Monitor,Balanced supply-demand (0.82).
Terai,January,2021,Reduce Supply,"High supply (1.48), oversupply risk."
Nilgiri,July,2021,Monitor,Balanced supply-demand (0.96).
Tripura,October,2021,Increase Supply,"Low supply (0.43), demand exceeds supply."
Tripura,January,2021,Monitor,Balanced supply-demand (1.00).
Meghalaya,February,2021,Monitor,Balanced supply-demand (0.96).
Wayanad,September,2021,Reduce Supply,"High supply (1.51), oversupply risk."
Munnar,October,2021,Increase Supply,"Low supply (0.70), demand exceeds supply."
