Region,Month,Year,Tea Supply (tons),Tea Demand (tons),Comment,Sentiment,Sentiment Score,Risk Analysis
Darjeeling,March,2021,276.18489801240366,275.3492194300964,Road blockages due to flooding delayed the shipment.,LABEL_0,0.5015130639076233,Road blockages due to flooding.
Nilgiri,June,2021,341.940994967289,341.21640222172374,Road blockages due to flooding delayed the shipment.,LABEL_0,0.5015130639076233,Road blockages due to flooding.
Munnar,February,2021,86.67424561887648,83.54378645752246,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.5184354186058044,Adverse weather conditions affecting supply.
Darjeeling,August,2021,293.21216044449943,307.68691011904093,Customs clearance issues delayed the shipment.,LABEL_0,0.5030000805854797,Delays due to customs clearance issues.
Darjeeling,March,2021,182.28810559034676,202.1051109537221,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.5122790932655334,Port congestion causing delays.
Nilgiri,April,2021,270.25297379399376,279.50436152754065,Customs clearance issues delayed the shipment.,LABEL_0,0.5030000805854797,Delays due to customs clearance issues.
Assam,March,2021,124.50030095654937,146.09753734814626,Customs clearance issues delayed the shipment.,LABEL_0,0.5030000805854797,Delays due to customs clearance issues.
Arunachal Pradesh,January,2021,92.11913423412994,104.42683549472642,Road blockages due to flooding delayed the shipment.,LABEL_0,0.5015130639076233,Road blockages due to flooding.
Arunachal Pradesh,November,2021,85.517925471942,100.98896380620252,Road blockages due to flooding delayed the shipment.,LABEL_0,0.5015130639076233,Road blockages due to flooding.
Wayanad,February,2021,392.0415026018389,441.554879424104,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.5122790932655334,Port congestion causing delays.
Meghalaya,January,2021,312.0836154564641,350.89561880448485,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.5184354186058044,Adverse weather conditions affecting supply.
Meghalaya,April,2021,457.41530960678017,424.1875208903408,Labor strike at the port delayed the shipment.,LABEL_0,0.5128858089447021,Port congestion causing delays.
Arunachal Pradesh,September,2021,340.5061622702063,321.4315809663857,Customs clearance issues delayed the shipment.,LABEL_0,0.5030000805854797,Delays due to customs clearance issues.
Darjeeling,May,2021,220.92293972567992,204.77731033771047,Labor strike at the port delayed the shipment.,LABEL_0,0.5128858089447021,Port congestion causing delays.
Meghalaya,February,2021,115.3604539199665,117.65325814923528,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.5122790932655334,Port congestion causing delays.
Munnar,May,2021,394.2112575503745,421.1295847591506,Road blockages due to flooding delayed the shipment.,LABEL_0,0.5015130639076233,Road blockages due to flooding.
Nilgiri,April,2021,61.39952831755109,62.758412172176925,Customs clearance issues delayed the shipment.,LABEL_0,0.5030000805854797,Delays due to customs clearance issues.
Nilgiri,April,2021,197.74178019666695,204.95022018606943,Road blockages due to flooding delayed the shipment.,LABEL_0,0.5015130639076233,Road blockages due to flooding.
Munnar,June,2021,369.8189814786311,357.2306139890906,Customs clearance issues delayed the shipment.,LABEL_0,0.5030000805854797,Delays due to customs clearance issues.
Terai,November,2021,399.1990344402327,437.7637358678933,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.5122790932655334,Port congestion causing delays.
Meghalaya,December,2021,299.1906515549617,305.79477637504726,Labor strike at the port delayed the shipment.,LABEL_0,0.5128858089447021,Port congestion causing delays.
Terai,November,2021,333.08598800086645,320.4422151345354,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.5122790932655334,Port congestion causing delays.
Nilgiri,October,2021,52.292706198824575,52.390525226985424,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.5184354186058044,Adverse weather conditions affecting supply.
Assam,March,2021,216.3747652077774,241.4612573104991,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.5122790932655334,Port congestion causing delays.
Assam,July,2021,137.8453359231555,139.11390160022654,Road blockages due to flooding delayed the shipment.,LABEL_0,0.5015130639076233,Road blockages due to flooding.
Dooars,June,2021,265.14459666344914,300.6644161286978,Labor strike at the port delayed the shipment.,LABEL_0,0.5128858089447021,Port congestion causing delays.
