Region,Month,Year,Rainfall (mm),Tea Production (tons),Tea Supply (tons),Tea Demand (tons),Comment
Darjeeling,March,2021,1453.5610476908187,285.1238430768984,276.18489801240366,275.3492194300964,Road blockages due to flooding delayed the shipment.
Nilgiri,June,2021,627.9379329971918,382.5728041488153,341.940994967289,341.21640222172374,Road blockages due to flooding delayed the shipment.
Munnar,February,2021,883.1681163847883,101.61057264427228,86.67424561887648,83.54378645752246,Adverse weather conditions caused a delay in transportation.
Darjeeling,August,2021,1085.8936876904813,331.38327021501215,293.21216044449943,307.68691011904093,Customs clearance issues delayed the shipment.
Darjeeling,March,2021,1521.5777081096446,210.83717305217073,182.28810559034673,202.10511095372206,"Due to rush at the port, the shipment was delayed."
Nilgiri,April,2021,682.5179019193162,290.0960773885831,270.25297379399376,279.50436152754065,Customs clearance issues delayed the shipment.
Assam,March,2021,605.5125508869796,154.4216569484957,124.50030095654937,146.09753734814626,Customs clearance issues delayed the shipment.
Arunachal Pradesh,January,2021,1633.8603940782864,100.35253540039265,92.11913423412994,104.42683549472642,Road blockages due to flooding delayed the shipment.
Arunachal Pradesh,November,2021,1674.8685890461256,95.06533473855293,85.517925471942,100.98896380620253,Road blockages due to flooding delayed the shipment.
Wayanad,February,2021,590.1525314941515,445.4307646565502,392.0415026018389,441.55487942410394,"Due to rush at the port, the shipment was delayed."
Meghalaya,January,2021,1327.5785534028887,375.79142847601236,312.0836154564641,350.89561880448485,Adverse weather conditions caused a delay in transportation.
Meghalaya,April,2021,1115.5611967779141,481.7455114135289,457.41530960678017,424.1875208903408,Labor strike at the port delayed the shipment.
Arunachal Pradesh,September,2021,1477.0563246274835,351.6717868123348,340.5061622702063,321.43158096638575,Customs clearance issues delayed the shipment.
Darjeeling,May,2021,1441.7539962557303,269.2545955966799,220.92293972567992,204.77731033771047,Labor strike at the port delayed the shipment.
Meghalaya,February,2021,1584.8957039475094,135.75296378119168,115.3604539199665,117.65325814923528,"Due to rush at the port, the shipment was delayed."
Munnar,May,2021,1332.2037411662882,433.73807579216486,394.2112575503745,421.1295847591506,Road blockages due to flooding delayed the shipment.
Nilgiri,April,2021,763.4330059467317,68.63702538496312,61.39952831755109,62.758412172176925,Customs clearance issues delayed the shipment.
Nilgiri,April,2021,1525.2492626011108,239.85370047686263,197.74178019666698,204.95022018606943,Road blockages due to flooding delayed the shipment.
Munnar,June,2021,697.3213146411437,388.3858554623422,369.8189814786311,357.2306139890906,Customs clearance issues delayed the shipment.
Terai,November,2021,1755.1119602688036,408.2624374457472,399.1990344402327,437.7637358678933,"Due to rush at the port, the shipment was delayed."
Meghalaya,December,2021,1449.7373067697913,335.48479141738306,299.1906515549617,305.79477637504726,Labor strike at the port delayed the shipment.
Terai,November,2021,810.4209767004984,391.9092885768875,333.08598800086645,320.4422151345354,"Due to rush at the port, the shipment was delayed."
Nilgiri,October,2021,973.5939249930104,57.84507156362916,52.292706198824575,52.390525226985424,Adverse weather conditions caused a delay in transportation.
Assam,March,2021,792.1054247075174,233.72359715090704,216.37476520777741,241.4612573104991,"Due to rush at the port, the shipment was delayed."
Assam,July,2021,712.9095537276348,165.8340349888336,137.8453359231555,139.11390160022654,Road blockages due to flooding delayed the shipment.
Dooars,June,2021,790.2960917615283,308.31966924320136,265.14459666344914,300.6644161286978,Labor strike at the port delayed the shipment.
Wayanad,July,2021,1760.2329095265043,458.7377532651464,458.1462766797366,427.268750466428,Labor strike at the port delayed the shipment.
Wayanad,February,2021,1686.1602061361198,393.3426321447183,357.86967156271817,406.01375321416816,Road blockages due to flooding delayed the shipment.
